Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealers Discount from list, Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List, Proposed GSA Price (with IFF of .75%) ,Country of Origin,Warranty
LRG TECH,MPS-PS-025,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, 150 Solar System PS Kit","$12,635.78 ","$8,423.85 ",33%,"$10,104.17 ",21%,"$10,028.39 ",USA,1 Year
LRG TECH,MPS-PS-026,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, Optex 120DEG Wide X 40', LED Strobe Kit Light Kit, 150 Solar System PS Kit","$13,243.28 ","$8,828.85 ",33%,"$10,589.96 ",21%,"$10,510.54 ",USA,1 Year
LRG TECH,MPS-PS-027,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, Optex 120DEG Wide X 40', LED Strobe Kit Light Kit, 2 High Intensity LED Bar w/ Electronics, 150 Solar System PS Kit","$14,244.53 ","$9,496.35 ",33%,"$11,390.61 ",21%,"$11,305.18 ",USA,1 Year
LRG TECH,MPS-PS-028,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Battery, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, Optex 120DEG Wide X 40', LED Strobe Kit Light Kit, 2 IR LED Bar w/ Electronics, 150 Solar System PS Kit","$16,100.78 ","$10,733.85 ",33%,"$12,874.96 ",21%,"$12,778.39 ",USA,1 Year
LRG TECH,UG-3-CAM-3YUD,"PTZ Camera IR ILLUM, Axis 5635 PTZ, Update Cables and Terminations, Update Servers to Current Version, Add'l down Cam, 3 Yrs Updates","$14,169.72 ","$9,446.48 ",33%,"$11,330.79 ",21%,"$11,245.81 ",USA,1 Year
LRG TECH,UG-2-CAM-PC-3YUD,"PTZ Camera IR ILLUM, Update Cables and Terminations, Update Servers to Current Version, Add'l down Cam, 3 Yrs Updates, Laptop","$12,384.00 ","$8,256.00 ",33%,"$9,902.84 ",21%,"$9,828.57 ",USA,1 Year
LRG TECH,UG-2-CAM-3YUD,"PTZ Camera IR ILLUM, Update Cables and Terminations, Update Servers to Current Version, Add down Cam.","$10,644.00 ","$7,096.00 ",33%,"$8,511.45 ",21%,"$8,447.62 ",USA,1 Year
LRG TECH,MPS-HOPBOX,"HopBox Case, Recharge and Communication Package, 90Ah Litium Battery Pack, PTZ 2MP 1080P Camera 30x Zoom, Camera Mount, Cellular Modem and Wi-Fi Access, Tripod","$17,550.00 ","$11,700.00 ",33%,"$14,033.83 ",21%,"$13,928.57 ",USA,1 Year
LRG TECH,1YR-4-WARR,Mobile Pro Systems 3400 Series Surveillance Trailer. UASI Extended warranty. Limitations apply. ,"$6,300.00 ","$4,200.00 ",33%,"$5,037.78 ",21%,"$5,000.00 ",USA,1 Year
LRG TECH,MPS-INSULATE-KIT,"MOBILE PRO SYSTEMS ACCY, ALL Weather Insulation Package","$3,364.20 ","$2,242.80 ",33%,"$2,690.18 ",21%,"$2,670.00 ",USA,1 Year
