Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Leviton,5R2UM-S16,ENCL 2U 1000I HD W/TRY,$396.25,$1.00 ,1%,$1.00 ,1%,$230.90,US,1 Year
Leviton,5R2UR-TRY,TRAY RETRO 2U 1000I,$188.65,$1.00 ,1%,$1.00 ,1%,$109.92,US,1 Year
Leviton,5R3UE-OPX,PNL 3U 500I EMPTY,$98.83,$1.00 ,1%,$1.00 ,1%,$57.58,US,1 Year
Leviton,5R3UL-F12,ENCL 3U 500I 12PLTS,$211.65,$1.00 ,1%,$1.00 ,1%,$118.99,US,1 Year
Leviton,5R3UM-F09,ENCL 3U 1000I  9PLTS,$371.65,$1.00 ,1%,$1.00 ,1%,$208.92,US,1 Year
Leviton,5R3UM-F12,ENCL 3U 1000I 12PLTS,$375.05,$1.00 ,1%,$1.00 ,1%,$210.83,US,1 Year
Leviton,5R4UH-S12,ENCL TRAY ACC12+CVR 4RU,$506.25,$1.00 ,1%,$1.00 ,1%,$338.39,US,1 Year
Leviton,5R4UM-F12,ENCL 4U 1000I  12PLTS,$431.91,$1.00 ,1%,$1.00 ,1%,$242.80,US,1 Year
Leviton,5R4UM-F15,ENCL 4U 1000I 15PLTS,$434.16,$1.00 ,1%,$1.00 ,1%,$244.05,US,1 Year
Leviton,5RCMP-KIT,KIT CABLE CLAMP 45D,$36.33,$1.00 ,1%,$1.00 ,1%,$24.28,US,1 Year
Leviton,5RCMR-KIT,KIT CBL CLAMP RM UNIV,$84.86,$1.00 ,1%,$1.00 ,1%,$50.21,US,1 Year
Leviton,5RKIT-OM3,IPP KIT OM3 18PT 1RU,$512.50,$1.00 ,1%,$1.00 ,1%,$305.79,US,1 Year
Leviton,5RKIT-OS2,IPP KIT OS2 18PT 1RU,$512.50,$1.00 ,1%,$1.00 ,1%,$305.79,US,1 Year
Leviton,5S180-SH5,JACK C5E 8P8C SHIELDED,$9.08,$1.00 ,1%,$1.00 ,1%,$4.73,US,1 Year
Leviton,5S460-03S,PCORD C5E FTP 3' GY,$6.94,$1.00 ,1%,$1.00 ,1%,$3.69,US,1 Year
Leviton,5S460-05S,PCORD C5E FTP 5' GY,$8.05,$1.00 ,1%,$1.00 ,1%,$4.29,US,1 Year
Leviton,5S460-07S,PCORD C5E FTP 7' GY,$9.29,$1.00 ,1%,$1.00 ,1%,$4.95,US,1 Year
Leviton,5S460-10S,PCORD C5E FTP 10' GY,$11.14,$1.00 ,1%,$1.00 ,1%,$5.93,US,1 Year
Leviton,5S460-15S,PCORD C5E FTP 15' GY,$14.25,$1.00 ,1%,$1.00 ,1%,$7.59,US,1 Year
Leviton,5S460-20S,PCORD C5E FTP 20' GY,$17.35,$1.00 ,1%,$1.00 ,1%,$9.23,US,1 Year
Leviton,5T000-00T,SPLICE KIT 12 DITEL,$28.40,$1.00 ,1%,$1.00 ,1%,$18.98,US,1 Year
Leviton,5W110-00N,ENCL EMPTY SOLID DR NO,$84.90,$1.00 ,1%,$1.00 ,1%,$56.75,US,1 Year
Leviton,5W120-00N,ENCL EMPTY SPL MT DR+LK,$98.41,$1.00 ,1%,$1.00 ,1%,$65.79,US,1 Year
Leviton,5W170-00N,ENCL EMPTY SOL DR+LK+KY,$94.95,$1.00 ,1%,$1.00 ,1%,$63.46,US,1 Year
Leviton,5W310-00N,ENCL MD EMPTY SOL MT DR,$115.78,$1.00 ,1%,$1.00 ,1%,$77.39,US,1 Year
Leviton,5W320-00N,ENCL MD EMPTY SPL MT DR,$138.95,$1.00 ,1%,$1.00 ,1%,$92.88,US,1 Year
Leviton,5W370-00N,ENCL MD EM SLD M DR+L+K,$133.15,$1.00 ,1%,$1.00 ,1%,$89.00,US,1 Year
Leviton,5W597-U48,"PPANEL, PATCH PANEL 48-PT CAT5E, CAT 5E, CATEGORY 5E ANGL",$320.55,$1.00 ,1%,$1.00 ,1%,$214.27,US,1 Year
Leviton,5W710-00N,ENCL LG EMPTY SOL MT DR,$247.01,$1.00 ,1%,$1.00 ,1%,$165.10,US,1 Year
