Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealer's Discount (% from list),Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
ORTRONICS,PMP61289,"12PORT,110 MINI PATCH 89D",$131.34 ,$65.67 ,50%,$80.69 ,39%,$80.09 ,USA,1 Year
ORTRONICS,PMP612H,"12PORT,110 HINGED,MINI PATCH",$178.36 ,$89.18 ,50%,$109.58 ,39%,$108.76 ,USA,1 Year
ORTRONICS,PP5ECMS16,"PoE POWERED PANEL,16P,C5E/110","$1,788.70 ",$894.35 ,50%,"$1,098.91 ",39%,"$1,090.67 ",USA,1 Year
ORTRONICS,PP5EUPF16,"POE PNL W/O POWER,16PORT,C5E",$451.76 ,$225.88 ,50%,$277.55 ,39%,$275.46 ,USA,1 Year
ORTRONICS,PPCF610U24,"24PORT,CLARITY SNAP,C6A,",$562.80 ,$281.40 ,50%,$345.76 ,39%,$343.17 ,USA,1 Year
ORTRONICS,PPCF610U48,"48PORT,CLARITY SNAP,C6A","$1,100.40 ",$550.20 ,50%,$676.05 ,39%,$670.98 ,USA,1 Year
ORTRONICS,PPS2601U,PoE POWER SUPPLY 260 WATT,$651.28 ,$325.64 ,50%,$400.12 ,39%,$397.12 ,USA,1 Year
ORTRONICS,PS-1032CN,10-32 CAGE NUT KIT,$41.84 ,$20.92 ,50%,$25.70 ,39%,$25.51 ,USA,1 Year
ORTRONICS,PS-1224CN,12-24 CAGE NUT KIT,$41.84 ,$20.92 ,50%,$25.70 ,39%,$25.51 ,USA,1 Year
ORTRONICS,PSD5E6U12,"12PORT,110/6PORT PNL C5E,STD",$133.38 ,$66.69 ,50%,$81.94 ,39%,$81.33 ,USA,1 Year
ORTRONICS,PSD5E6U24,"24PORT,110/6PORT PNL C5E",$214.48 ,$107.24 ,50%,$131.77 ,39%,$130.78 ,USA,1 Year
ORTRONICS,PSD5E6U24HM,"24PORT,110/6PORT C5E CLARITY",$304.52 ,$152.26 ,50%,$187.09 ,39%,$185.68 ,USA,1 Year
ORTRONICS,PSD5E6U48,"48PORT,110/6PORT PNL C5E,STD",$429.24 ,$214.62 ,50%,$263.71 ,39%,$261.73 ,USA,1 Year
ORTRONICS,PSD5E6U48HM,"48PORT,110/6PORT C5E CLARITY",$536.38 ,$268.19 ,50%,$329.53 ,39%,$327.06 ,USA,1 Year
ORTRONICS,PSD5E6U96,"96PORT,110/6PORT PNL C5E,STD",$796.40 ,$398.20 ,50%,$489.28 ,39%,$485.61 ,USA,1 Year
ORTRONICS,PSD66U12,"12PORT,110/6PORT PANEL C6,STD",$167.88 ,$83.94 ,50%,$103.14 ,39%,$102.37 ,USA,1 Year
ORTRONICS,PSD66U24,"24PORT,110/6PORT PANEL C6",$275.00 ,$137.50 ,50%,$168.95 ,39%,$167.68 ,USA,1 Year
ORTRONICS,PSD66U24HM,"24PORT,110/6PORT C6  CLARITY",$356.80 ,$178.40 ,50%,$219.21 ,39%,$217.56 ,USA,1 Year
ORTRONICS,PSD66U48,"48PORT,110/6PORT PANEL C6,STD",$542.90 ,$271.45 ,50%,$333.54 ,39%,$331.04 ,USA,1 Year
ORTRONICS,PSD66U48HM,"48PORT,110/6PORT C6  CLARITY",$629.84 ,$314.92 ,50%,$386.95 ,39%,$384.05 ,USA,1 Year
ORTRONICS,PSD66U96,"96PORT,110/6PORT PANEL C6,STD","$1,069.08 ",$534.54 ,50%,$656.80 ,39%,$651.88 ,USA,1 Year
ORTRONICS,PS-M6X1CN,M6 CAGE NUT KIT,$50.16 ,$25.08 ,50%,$30.82 ,39%,$30.59 ,USA,1 Year
ORTRONICS,RECBK-12,"HOMACO,END CLOSING KIT,12""",$25.70 ,$12.85 ,50%,$15.79 ,39%,$15.67 ,USA,1 Year
ORTRONICS,RECBK-12B,"HOMACO,END CLOSING KIT,12"" BLACK",$25.70 ,$12.85 ,50%,$15.79 ,39%,$15.67 ,USA,1 Year
ORTRONICS,RECBK-18,"HOMACO,END CLOSING KIT,18""",$34.72 ,$17.36 ,50%,$21.33 ,39%,$21.17 ,USA,1 Year
