Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Ortronics,TJ5E00-26,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-27,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-36,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-42,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-43,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-44,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-45,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-68,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-78,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-88,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-99,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-00,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-13,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-36,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-42,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-43,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-44,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-45,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-78,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-88,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E45-99,"TRACJACK,CAT5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ6A,"TRACJACK,CAT6A,CLARITY,T568A/B",$17.40 ,$8.70 ,50%,$10.69 ,39%,$10.61 ,MX,1 Year
Ortronics,TJ6A-00,"TRACJACK,CAT6A,CLARITY,T568A/B",$17.40 ,$8.70 ,50%,$10.69 ,39%,$10.61 ,MX,1 Year
